semester1,,,semester2,,,semester3,,,semester4,
userID,Final Exam,,userID,Final Exam,,userID,finalExam,,userID,finalExam
54db0c6927541070e9415a36,12.43902439,,556941de502cc43ec04c6839,29.16666667,,560dad93b3d6aa670a1e137c,0,,56a6b513c478dbdffc7190e6,11.44
54db0c3b27541070e941597d,15.12195122,,556941e6502cc43ec04c685a,45.83333333,,560dadf3b3d6aa670a1e145e,0,,56a6b4fcc478dbdffc7190b5,16.12
54db0c3e27541070e9415986,16.09756098,,556941e9502cc43ec04c6864,48.75,,560dae04b3d6aa670a1e147e,0,,56a6b4fac478dbdffc7190b1,20.74
54db0c6627541070e9415a22,16.82926829,,556941e1502cc43ec04c6845,50,,560dad79b3d6aa670a1e132b,0,,56a6b4dcc478dbdffc719073,22.72
54db0c5027541070e94159bb,17.56097561,,556cfde5502cc43ec04c69b6,52.91666667,,560dada4b3d6aa670a1e13a6,0,,56a6b4ecc478dbdffc719095,26.64
54db0c6a27541070e9415a38,21.2195122,,556e49d9b2317a8cd5908360,53.75,,560dadc0b3d6aa670a1e13ec,0,,56a6b4e2c478dbdffc719080,32.84
54db0c4c27541070e94159ad,23.17073171,,556cfdef502cc43ec04c69b7,61.66666667,,560dadd7b3d6aa670a1e1430,0,,56a6b4f6c478dbdffc7190a9,41.12
54db0c5c27541070e94159e1,27.80487805,,556941e3502cc43ec04c684e,64.16666667,,560dadbfb3d6aa670a1e13e6,0,,56a6b4ddc478dbdffc719074,43.6
54db0c3d27541070e9415984,28.29268293,,556e0707f9b0d5a7d3446506,64.16666667,,560dadd4b3d6aa670a1e1424,0,,56a6b4fcc478dbdffc7190b6,45.18
54db0c4a27541070e94159a7,32.43902439,,556941e3502cc43ec04c684c,65,,560dad74b3d6aa670a1e1320,0,,56a6b505c478dbdffc7190c7,46
54db0c5527541070e94159ca,32.92682927,,556941e5502cc43ec04c6854,66.66666667,,560dad88b3d6aa670a1e1354,0,,56a6b4f2c478dbdffc7190a3,46.12
54db0c5527541070e94159cc,32.92682927,,556f9da3502cc43ec04c6ef8,67.91666667,,560dadf6b3d6aa670a1e1468,0,,56a6b501c478dbdffc7190bf,48.04
54db0c6727541070e9415a2a,33.41463415,,556941e2502cc43ec04c6849,70.83333333,,560dada0b3d6aa670a1e139a,0,,56a6b4dfc478dbdffc71907a,48.4
54db0c3627541070e9415969,34.87804878,,556941df502cc43ec04c683e,70.83333333,,560dad79b3d6aa670a1e132a,0,,56a6b508c478dbdffc7190ce,52.18
54db0c4827541070e94159a2,34.87804878,,556941de502cc43ec04c683a,71.66666667,,560dad81b3d6aa670a1e1344,0,,56a6b529c478dbdffc719112,52.48
54db0c6827541070e9415a31,37.31707317,,556941e9502cc43ec04c6863,71.66666667,,560dad94b3d6aa670a1e137d,18,,56a6b50bc478dbdffc7190d6,52.78
54db0c4d27541070e94159b0,37.80487805,,556941df502cc43ec04c683b,71.66666667,,560daddbb3d6aa670a1e143f,24,,56a6b51dc478dbdffc7190fc,55.16
