questionID,totalInteractions,hints,attempts,correct,compiles,errorFreeCompiles,runs,hNOc, total, topic,
54dbb3f027541070e9415a3f,1215,136,504,228,47,27,28,34,245,54db0c6a27541070e9415a3d,PrintStuff
54dd108c4427a32e0b5e69a0,1291,395,483,191,0,0,0,78,222,54db0c6a27541070e9415a3d,PrintStuff
54dcdfc704e78631e67f72e7,774,62,306,198,0,0,0,18,208,54db0c6a27541070e9415a3d,PrintStuff
54dce00404e78631e67f72e8,815,121,309,185,0,0,0,32,200,54db0c6a27541070e9415a3d,PrintStuff
54dd0fde4427a32e0b5e699f,662,33,245,193,0,0,0,9,191,54db0c6a27541070e9415a3d,PrintStuff
54dd11784427a32e0b5e69a1,830,183,256,186,0,0,0,27,205,54db0c6a27541070e9415a3d,PrintStuff
54dd12dc4427a32e0b5e69a2,1527,667,526,150,0,0,0,78,184,54db0c6a27541070e9415a3d,PrintStuff
54dbb5d627541070e9415a40,954,113,210,164,124,67,77,15,199,54db0c6a27541070e9415a3e,REadingMethods
54dd08f94427a32e0b5e697a,507,58,183,128,0,0,0,10,138,54db0c6a27541070e9415a3e,REadingMethods
54dd093f4427a32e0b5e697b,418,36,157,107,0,0,0,11,118,54db0c6a27541070e9415a3e,REadingMethods
54dd09eb4427a32e0b5e697e,471,43,158,135,0,0,0,12,135,54db0c6a27541070e9415a3e,REadingMethods
54dd09f04427a32e0b5e697f,556,154,163,111,0,0,0,26,128,54db0c6a27541070e9415a3e,REadingMethods
54dd09f44427a32e0b5e6980,559,151,171,114,0,0,0,26,123,54db0c6a27541070e9415a3e,REadingMethods
54dc1e914b5edd6a055b93a2,2668,240,268,163,752,471,501,15,273,54dbb8cc27541070e9415a41,forLoopsWriting
54dce5704427a32e0b5e6943,1228,65,185,151,253,180,214,3,180,54dbb8cc27541070e9415a41,forLoopsWriting
54dce7cb4427a32e0b5e6946,2909,433,248,86,785,556,618,26,183,54dbb8cc27541070e9415a41,forLoopsWriting
54dce83c4427a32e0b5e6948,2389,321,204,88,624,464,528,15,160,54dbb8cc27541070e9415a41,forLoopsWriting
54dceaca4427a32e0b5e6951,1665,277,135,85,388,300,343,17,137,54dbb8cc27541070e9415a41,forLoopsWriting
54dceaef4427a32e0b5e6952,1397,124,127,90,335,274,300,14,147,54dbb8cc27541070e9415a41,forLoopsWriting
54dced744427a32e0b5e695a,1926,372,145,60,460,357,409,33,123,54dbb8cc27541070e9415a41,forLoopsWriting
54dcef264427a32e0b5e695b,1366,274,57,33,338,278,302,20,84,54dbb8cc27541070e9415a41,forLoopsWriting
54dcf0bc4427a32e0b5e6965,3833,891,251,111,1082,561,652,53,285,54dce1fd04e78631e67f72eb,MethodWriting
54dcf26b4427a32e0b5e6966,1577,328,159,98,344,228,261,25,159,54dce1fd04e78631e67f72eb,MethodWriting
54dcf5254427a32e0b5e6968,2106,448,137,52,609,339,397,30,124,54dce1fd04e78631e67f72eb,MethodWriting
54dcf8334427a32e0b5e696b,1318,441,91,41,295,166,187,29,97,54dce1fd04e78631e67f72eb,MethodWriting
54dd413e210c07e1f6046712,1566,388,103,33,386,268,292,18,96,54dce1fd04e78631e67f72eb,MethodWriting
54e28e69b1d420f599280527,3923,1473,235,82,914,428,499,72,292,54e28dd6b1d420f599280526,IO
54f8d61f9f61e74368f3e2e8,619,316,164,51,0,0,0,53,88,54e28dd6b1d420f599280526,IO
54f8dae29f61e74368f3e2f1,1601,588,142,38,359,184,183,36,107,54e28dd6b1d420f599280526,IO
54f7895f9f61e74368f3e2cb,1659,651,119,60,339,161,174,50,155,54e28dd6b1d420f599280526,IO
54f8d0109f61e74368f3e2e5,1469,701,93,47,263,112,127,61,126,54e28dd6b1d420f599280526,IO
