Student,Topic,Top_Num,Question,Hints,Compiles,Correct,Start,Finish
56a6b4dbc478dbdffc719070,46
,Print statements,1,1,0,0,1,2016-02-03  21:14:14.66,2016-02-03  21:14:47.78
,Print statements,1,2,0,0,1,2016-02-03  21:14:47.79,2016-02-03  21:15:27.33
,Print statements,1,3,0,0,1,2016-02-03  21:15:27.33,2016-02-03  21:16:26.67
,Print statements,1,4,0,0,1,2016-02-03  21:16:26.67,2016-02-03  21:17:12.96
,Print statements,1,5,5,0,1,2016-02-03  21:17:12.96,2016-02-03  21:28:57.97
,Print statements,1,6,0,0,1,2016-02-03  21:29:14.07,2016-02-03  21:29:51.81
,Print statements,1,1,0,0,0,2016-02-04  05:55:58.13,2016-02-04  05:56:01.63
,Print statements,1,7,0,0,1,2016-02-04  05:56:09.66,2016-02-04  05:57:27.03
,For-loops - code reading,2,1,4,0,1,2016-02-04  05:57:27.47,2016-02-04  06:02:40.44
,For-loops - code reading,2,2,3,0,1,2016-02-04  06:02:40.44,2016-02-04  06:08:40.16
,For-loops - code reading,2,3,5,0,1,2016-02-04  06:08:40.16,2016-02-04  06:24:47.59
,For-loops - code reading,2,4,8,0,0,2016-02-04  06:24:47.59,2016-02-04  06:35:27.10
,Syntax errors,3,1,0,1,1,2016-02-04  06:35:34.54,2016-02-04  06:36:08.96
,Syntax errors,3,2,0,1,1,2016-02-04  06:36:08.97,2016-02-04  06:36:42.55
,Syntax errors,3,3,0,2,1,2016-02-04  06:36:42.55,2016-02-04  06:37:42.46
,Syntax errors,3,4,0,0,1,2016-02-04  06:37:42.46,2016-02-04  06:38:15.60
,Syntax errors,3,5,0,0,1,2016-02-04  06:38:15.60,2016-02-04  06:39:29.55
,Syntax errors,3,6,5,0,1,2016-02-04  06:39:29.55,2016-02-04  06:42:41.17
,Strings and casting,4,1,4,0,1,2016-02-04  06:50:21.08,2016-02-04  06:52:34.81
,Strings and casting,4,2,3,0,0,2016-02-04  13:42:54.34,2016-02-04  13:43:06.06
,Strings and casting,4,3,3,0,0,2016-02-04  13:43:06.06,2016-02-04  13:43:12.84
,Syntax errors,3,1,1,0,0,2016-02-04  13:43:13.48,2016-02-04  13:43:15.40
,For-loops - code writing,5,1,3,0,0,2016-02-04  13:43:15.98,2016-02-04  13:43:19.49
,Strings and casting,4,1,1,0,0,2016-02-04  13:43:19.96,2016-02-04  13:43:25.09
,Strings and casting,4,2,3,0,0,2016-02-04  13:43:25.09,2016-02-04  13:43:29.18
,Strings and casting,4,3,1,0,0,2016-02-04  13:43:29.18,2016-02-04  13:43:31.81
,Strings and casting,4,4,1,0,1,2016-02-04  13:43:31.81,2016-02-04  13:44:02.44
,Strings and casting,4,5,2,0,0,2016-02-04  13:44:02.44,2016-02-04  13:50:25.76
,Strings and casting,4,6,4,0,1,2016-02-04  13:50:25.76,2016-02-04  13:54:15.38
,For-loops - code writing,5,1,0,1,1,2016-02-04  13:54:36.15,2016-02-04  13:56:01.63
,For-loops - code writing,5,2,0,0,1,2016-02-04  13:56:01.63,2016-02-04  13:56:51.36
,For-loops - code writing,5,3,5,2,0,2016-02-04  13:56:51.36,2016-02-04  14:04:33.92
,For-loops - code writing,5,4,5,6,0,2016-02-04  14:04:33.92,2016-02-04  14:18:07.22
,For-loops - code writing,5,5,7,9,0,2016-02-04  14:18:07.22,2016-02-04  14:28:24.58
,For-loops - code writing,5,6,2,6,0,2016-02-04  14:28:24.58,2016-02-04  14:34:06.24
,Methods - code reading,6,1,0,0,1,2016-02-04  14:34:13.41,2016-02-04  14:34:55.19
,Methods - code reading,6,2,0,0,1,2016-02-04  14:34:55.19,2016-02-04  14:36:07.85
,Methods - code reading,6,3,8,0,0,2016-02-04  14:36:07.85,2016-02-04  14:38:17.46
,Methods - code reading,6,4,0,0,1,2016-02-04  14:38:17.46,2016-02-04  14:40:56.68
,Methods - code reading,6,5,0,0,1,2016-02-04  14:40:56.68,2016-02-04  14:44:09.64
,Methods - code reading,6,6,0,0,1,2016-02-04  14:44:09.64,2016-02-04  14:46:34.32
,Writing code: methods and for-loops,8,1,1,3,1,2016-02-04  14:46:39.11,2016-02-04  14:53:31.62
,Writing code: methods and for-loops,8,2,5,2,1,2016-02-04  14:53:31.62,2016-02-04  15:00:34.84
,Writing code: methods and for-loops,8,3,4,0,0,2016-02-04  15:00:34.85,2016-02-04  15:17:37.06
,Writing code: methods and for-loops,8,4,7,1,0,2016-02-04  15:17:37.06,2016-02-04  15:37:07.73
,Writing code: methods and for-loops,8,5,8,10,0,2016-02-04  15:37:07.73,2016-02-04  15:51:31.61
56a6b4ebc478dbdffc719092,12
,Print statements,1,1,4,0,1,2016-02-04  07:08:32.78,2016-02-04  07:45:55.94
,Print statements,1,2,4,0,1,2016-02-04  07:45:55.94,2016-02-04  08:02:44.98
,Print statements,1,3,5,0,3,2016-02-04  08:02:44.98,2016-02-04  08:09:56.77
,Print statements,1,4,5,0,3,2016-02-04  08:09:56.77,2016-02-04  09:42:40.04
,Print statements,1,5,5,0,0,2016-02-04  09:42:40.04,2016-02-04  09:43:27.97
,Writing code: methods and for-loops,8,1,0,1,0,2016-02-04  09:43:47.81,2016-02-04  09:48:49.80
,Syntax errors,3,1,0,1,0,2016-02-04  09:48:52.31,2016-02-04  09:49:09.84
,Syntax errors,3,2,4,1,0,2016-02-04  09:49:09.84,2016-02-04  09:50:13.06
,Syntax errors,3,3,4,1,0,2016-02-04  09:50:13.06,2016-02-04  09:51:09.59
,Syntax errors,3,4,3,7,0,2016-02-04  09:51:09.59,2016-02-04  09:52:42.79
,Syntax errors,3,5,3,0,0,2016-02-04  09:52:42.79,2016-02-04  09:53:14.09
,For-loops - code writing,5,1,6,0,0,2016-02-04  09:59:29.84,2016-02-04  09:59:46.53
56a6b4eec478dbdffc71909a,34
,Print statements,1,1,0,0,1,2016-01-29  20:59:33.91,2016-01-29  21:00:37.28
,Print statements,1,1,0,0,1,2016-02-04  00:41:29.49,2016-02-04  00:42:05.78
,Print statements,1,3,1,0,0,2016-02-04  00:42:06.09,2016-02-04  00:47:22.30
,Print statements,1,2,4,0,0,2016-02-04  00:47:30.23,2016-02-04  00:49:25.91
,Print statements,1,3,4,0,0,2016-02-04  00:49:25.91,2016-02-04  00:49:39.25
,Print statements,1,4,0,0,1,2016-02-04  00:49:39.25,2016-02-04  00:50:29.25
,Print statements,1,5,8,0,0,2016-02-04  00:50:29.25,2016-02-04  00:56:11.22
,Print statements,1,6,9,0,0,2016-02-04  00:56:11.22,2016-02-04  00:57:48.31
,Print statements,1,7,12,0,0,2016-02-04  01:03:20.49,2016-02-04  01:10:44.47
,For-loops - code reading,2,1,4,0,0,2016-02-04  01:10:45.13,2016-02-04  01:12:57.69
,For-loops - code reading,2,2,6,0,0,2016-02-04  01:12:57.69,2016-02-04  01:18:37.44
,For-loops - code reading,2,1,3,0,0,2016-02-04  09:45:20.27,2016-02-04  09:45:48.65
,For-loops - code reading,2,2,6,0,0,2016-02-04  09:45:48.65,2016-02-04  09:52:13.38
,For-loops - code reading,2,3,7,0,0,2016-02-04  09:52:13.38,2016-02-04  10:09:16.62
,For-loops - code reading,2,1,7,0,0,2016-02-04  16:33:53.11,2016-02-04  16:35:25.99
,For-loops - code reading,2,2,5,0,0,2016-02-04  16:35:25.99,2016-02-04  16:37:26.39
,For-loops - code reading,2,3,7,0,0,2016-02-04  16:37:26.39,2016-02-04  16:44:24.92
,Syntax errors,3,1,0,1,0,2016-02-04  16:44:25.72,2016-02-04  16:45:03.72
,Syntax errors,3,2,0,1,0,2016-02-04  16:45:03.72,2016-02-04  16:45:37.16
,Syntax errors,3,3,0,1,1,2016-02-04  16:45:37.17,2016-02-04  16:46:38.78
,Syntax errors,3,4,0,1,0,2016-02-04  16:46:38.78,2016-02-04  16:47:31.83
,Syntax errors,3,5,0,3,1,2016-02-04  16:47:36.67,2016-02-04  16:49:45.02
,Syntax errors,3,6,5,1,0,2016-02-04  16:49:45.02,2016-02-04  16:52:41.01
,Strings and casting,4,1,8,0,1,2016-02-04  16:52:41.74,2016-02-04  16:57:08.58
,Strings and casting,4,2,3,0,0,2016-02-04  16:57:08.58,2016-02-04  17:04:52.46
,Strings and casting,4,3,1,0,1,2016-02-04  17:04:52.46,2016-02-04  17:08:06.27
,Strings and casting,4,4,0,0,1,2016-02-04  17:08:06.27,2016-02-04  17:08:42.39
,Strings and casting,4,5,1,0,0,2016-02-04  17:08:42.39,2016-02-04  17:11:06.70
,Strings and casting,4,6,0,0,1,2016-02-04  17:11:06.70,2016-02-04  17:15:16.21
,For-loops - code writing,5,1,0,4,0,2016-02-04  17:15:17.75,2016-02-04  17:25:26.48
,Methods - code reading,6,1,0,0,1,2016-02-04  17:26:05.72,2016-02-04  17:27:01.39
,Methods - code reading,6,6,3,0,0,2016-02-04  17:27:01.39,2016-02-04  17:30:37.90
,Methods - code reading,6,5,0,0,0,2016-02-04  17:30:37.90,2016-02-04  17:33:31.29
,Methods - code reading,6,4,4,0,0,2016-02-04  17:34:43.14,2016-02-04  17:36:07.04
56a6b4ffc478dbdffc7190bb,27
,Print statements,1,1,0,0,1,2016-02-04  06:02:58.07,2016-02-04  06:05:34.85
,Print statements,1,2,2,0,1,2016-02-04  06:05:34.85,2016-02-04  06:09:22.17
,Print statements,1,3,0,0,1,2016-02-04  06:09:22.17,2016-02-04  06:10:44.50
,Print statements,1,4,0,0,1,2016-02-04  06:10:44.50,2016-02-04  06:12:05.12
,Print statements,1,5,7,0,1,2016-02-04  06:12:05.12,2016-02-04  06:19:40.35
,Print statements,1,6,0,0,1,2016-02-04  06:19:40.35,2016-02-04  06:21:31.31
,Print statements,1,7,11,0,1,2016-02-04  06:21:31.31,2016-02-04  06:27:51.34
,For-loops - code reading,2,1,4,0,1,2016-02-04  06:27:51.62,2016-02-04  06:36:36.85
,For-loops - code reading,2,2,5,0,1,2016-02-04  06:36:36.85,2016-02-04  06:43:32.32
,For-loops - code reading,2,3,3,0,1,2016-02-04  06:43:32.32,2016-02-04  06:52:06.97
,For-loops - code reading,2,4,8,0,1,2016-02-04  06:52:06.97,2016-02-04  07:17:07.59
,Syntax errors,3,1,0,1,1,2016-02-04  07:17:07.92,2016-02-04  07:17:38.23
,Syntax errors,3,2,0,1,1,2016-02-04  07:17:38.23,2016-02-04  07:18:27.35
,For-loops - code reading,2,1,0,2,0,2016-02-04  07:20:06.21,2016-02-04  07:20:11.88
,Syntax errors,3,1,0,1,1,2016-02-04  07:20:12.04,2016-02-04  07:20:25.59
,Syntax errors,3,2,0,1,1,2016-02-04  07:20:25.59,2016-02-04  07:20:51.66
,For-loops - code reading,2,1,3,0,0,2016-02-04  07:22:20.57,2016-02-04  07:22:26.24
,Syntax errors,3,3,0,1,1,2016-02-04  07:22:29.22,2016-02-04  07:22:43.40
,Syntax errors,3,4,0,1,0,2016-02-04  07:22:43.40,2016-02-04  07:24:11.05
,Syntax errors,3,4,0,1,1,2016-02-04  07:24:15.67,2016-02-04  07:24:33.65
,Syntax errors,3,5,0,2,1,2016-02-04  07:24:33.65,2016-02-04  07:25:52.33
,Syntax errors,3,6,0,4,1,2016-02-04  07:25:52.33,2016-02-04  07:30:30.74
,For-loops - code writing,5,1,0,1,1,2016-02-04  07:31:44.84,2016-02-04  07:32:45.61
,For-loops - code writing,5,2,0,3,1,2016-02-04  07:32:45.61,2016-02-04  07:34:35.21
,For-loops - code reading,2,1,0,2,0,2016-02-04  07:36:23.66,2016-02-04  07:36:27.19
,For-loops - code writing,5,4,0,2,0,2016-02-04  07:36:30.29,2016-02-04  07:37:42.95
,For-loops - code writing,5,1,15,31,0,2016-02-04  08:28:54.64,2016-02-04  08:30:40.62
56a6b529c478dbdffc719113,50
,Print statements,1,1,0,0,1,2016-02-04  01:16:18.74,2016-02-04  01:17:23.27
,Print statements,1,2,3,0,1,2016-02-04  01:17:23.27,2016-02-04  01:25:43.33
,Print statements,1,2,1,0,1,2016-02-04  01:25:52.84,2016-02-04  01:26:25.18
,Print statements,1,3,0,0,1,2016-02-04  01:26:25.18,2016-02-04  01:27:22.10
,Print statements,1,4,0,0,1,2016-02-04  01:27:22.10,2016-02-04  01:28:22.99
,Print statements,1,5,7,0,1,2016-02-04  01:28:22.99,2016-02-04  01:36:25.12
,Print statements,1,5,0,0,1,2016-02-04  01:36:25.90,2016-02-04  01:36:45.78
,Print statements,1,6,1,0,1,2016-02-04  01:36:45.78,2016-02-04  01:37:24.67
,Print statements,1,7,10,0,0,2016-02-04  01:37:24.67,2016-02-04  01:42:37.65
,Print statements,1,7,2,0,1,2016-02-04  01:42:49.16,2016-02-04  01:44:18.91
